時間,進港/出港,港口國,港口,臺灣港口,貨櫃/非貨櫃,船舶種類,船舶國籍,總噸數,艘次
2021/4/1 上午 12:00:00,進港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,18658,1
2021/4/1 上午 12:00:00,出港,越南,胡志明,高雄港,貨櫃船,全貨櫃船,巴拿馬,18658,1
2016/8/13 上午 12:00:00,出港,越南,海防,高雄港,貨櫃船,全貨櫃船,巴拿馬,14807,1
2016/7/31 上午 12:00:00,出港,越南,順化,高雄港,貨櫃船,全貨櫃船,巴拿馬,2772,1
2016/7/31 上午 12:00:00,出港,越南,順化,高雄港,貨櫃船,全貨櫃船,巴拿馬,4165,1
2015/8/18 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,43210,1
2015/11/20 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,45271,1
2015/8/7 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,25546,1
2015/8/11 上午 12:00:00,進港,新加坡,新加坡港,台中港,非貨櫃船,散裝船,馬紹爾群島共和國,40937,1
2015/12/3 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,37623,1
2015/10/23 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,32987,1
2015/4/12 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,31198,1
2015/5/15 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,33045,1
2019/5/1 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,香港,40042,1
2019/5/1 上午 12:00:00,進港,新加坡,新加坡港,台中港,非貨櫃船,散裝船,香港,44543,1
2019/5/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,香港,30042,1
2017/3/26 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,散裝船,新加坡,92730,1
2017/9/9 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,新加坡,101933,1
2018/10/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,新加坡,33032,1
2020/8/1 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,36336,1
2020/8/1 上午 12:00:00,進港,新加坡,新加坡港,台中港,非貨櫃船,散裝船,馬紹爾群島共和國,36464,1
2020/8/1 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,散裝船,馬紹爾群島共和國,45255,1
2016/10/14 上午 12:00:00,進港,菲律賓,巴丹港 PHBTN,台北港,非貨櫃船,化學液體船,巴拿馬,3384,1
2015/6/21 上午 12:00:00,進港,菲律賓,巴丹港 PHBTN,高雄港,非貨櫃船,化學液體船,巴拿馬,3384,1
2015/4/17 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,非貨櫃船,化學液體船,挪威,23206,1
2015/5/11 上午 12:00:00,出港,菲律賓,馬尼拉,基隆港,非貨櫃船,化學液體船,新加坡,6976,1
2015/1/7 上午 12:00:00,出港,菲律賓,巴丹港 PHBTN,高雄港,非貨櫃船,化學液體船,新加坡,23190,1
2018/5/1 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,非貨櫃船,化學液體船,馬紹爾群島共和國,16084,1
