時間,近/遠洋,進/出港,裝/卸貨,航線名稱,新南向區域,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船型,艘次
2016/3/19 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/6/11 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/8/27 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/6/18 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/6/25 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/3/31 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2016/4/2 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/7/23 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,2
2016/5/28 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/8/7 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/10/2 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/7/2 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2016/9/10 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,2
2016/9/17 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2017/3/30 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/2/1 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/12/22 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/12/22 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2016/12/23 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
